key
"(19, 600000208407)"
"(663, 600000277951)"
"(121, 420000005433)"
"(405, 600000059180)"
"(376, 600000264400)"
"(145, 600000002360)"
"(51, 600000234598)"
"(236, 600000210471)"
"(694, 600000278661)"
"(297, 600000504736)"
"(287, 600000264231)"
"(611, 600000231036)"
"(613, 600000268023)"
"(291, 600000201111)"
"(467, 600000277741)"
"(75, 600000057663)"
"(519, 600000059346)"
"(149, 600000287803)"
"(389, 600000268062)"
"(585, 600000201115)"
"(246, 600000000417)"
"(363, 610000205037)"
"(659, 600000254026)"
"(157, 600000050328)"
"(55, 600000232042)"
"(124, 600000050301)"
"(504, 600000234628)"
"(305, 600000202410)"
"(19, 600000526951)"
"(189, 600000207951)"
"(151, 600000005078)"
"(546, 600000202087)"
"(4, 600000253344)"
"(553, 600000277915)"
"(348, 600000526908)"
"(534, 600000279211)"
"(429, 600000233198)"
"(572, 600000269725)"
"(352, 600000500378)"
"(652, 600000261421)"
"(351, 600000012050)"
"(600, 600000059336)"
"(527, 600000525588)"
"(449, 600000261596)"
"(356, 600000205787)"
"(505, 600000200128)"
"(375, 600000531242)"
"(460, 600000013789)"
"(689, 600000531810)"
"(352, 600000203592)"
"(459, 600000233808)"
"(247, 600000502320)"
"(16, 600000100236)"
"(219, 600000226787)"
"(129, 600000060084)"
"(302, 600000254649)"
"(679, 600000230993)"
"(385, 420000002046)"
"(69, 600000502201)"
"(283, 600000201868)"
"(391, 600000206481)"
"(270, 600000061084)"
"(262, 600000278058)"
"(239, 600000207414)"
"(43, 420000005571)"
"(513, 600000056642)"
"(256, 600000210904)"
"(532, 600000202024)"
"(388, 600000206422)"
"(113, 600000228472)"
"(213, 600000262808)"
"(73, 600000208501)"
"(95, 600000233344)"
"(404, 600000052448)"
"(474, 600000100280)"
"(81, 600000503017)"
"(347, 600000017240)"
"(179, 600000204478)"
"(83, 600000530050)"
"(550, 600000287975)"
"(355, 600000057840)"
"(167, 600000203670)"
"(382, 600000261488)"
"(486, 600000502003)"
"(475, 600000279180)"
"(75, 600000261880)"
"(671, 600000269942)"
"(432, 600000100057)"
"(646, 600000287860)"
"(267, 600000233987)"
"(573, 600000201876)"
"(325, 600000208909)"
"(82, 600000233709)"
"(278, 600000204587)"
"(7, 420000005758)"
"(6, 600000255681)"
"(438, 600000209373)"
"(195, 600000277951)"
"(50, 600000504294)"
"(288, 420000001729)"
"(55, 600000059818)"
"(511, 420000004329)"
"(414, 600000210904)"
"(9, 600000527578)"
"(444, 600000278690)"
"(121, 600000527677)"
"(320, 600000224420)"
