,상품명,단가,상품코드
136,"콩나물(3.5kg,두레박)",3600,8807769000157
137,생활가득고급형물티슈400매,7450,8809138270680
138,"늘처음,통닭11호",4200,8809401330240
139,팩느타리버섯(1팩/특/팩/국산),890,2100000629725
140,황보)다진마늘,2300,8809342242305
141,하나)피바지락,1600,2100000605903
142,롯데마가렛트초코맘352g,2980,8801062890064
143,오뚜기)동그랑땡1kg,5990,8801045940038
144,키스틱400g 1+1,8980,8801123205394
145,쿨맥시2 정사각 4호 1,2500,8809031220966
146,삼겹 찌개용,4144,207134
147,해)코코팜포도,550,8801105911312
148,해)코코팜복숭아,550,8801105912692
149,"감자(특,2kg,박스)",3900,2100000495436
150,해조은)건다시마(上),11500,8809009748836
151,단시금치(특/단/국산),1780,2100000625949
152,남)불가리스위쎈150,5400,8801069402000
153,갑오징어,6800,206519
154,남)요구르트65*20,2680,8801069217895
155,갈치,9800,206525
156,서)우유1000,2850,8801115114154
157,퍼실파워젤드럼용2.2L,14300,8809004774908
158,컨테이너사과 할인,9800,200395
159,해)소소한볶은알땅콩,5800,8809009750938
160,"꼬부리숙주나물(1kg,두레박)",1500,8807769000850
161,빙)쥬시쿨자두930,990,8801104250290
162,한성크래미145g+90g,2980,8801074256636
163,팔도)비빔면,4300,8801128503051
164,농)새우깡4번들,3480,8801043024440
165,서)목장우유1000,3300,8801115114260
166,씨)맛있는찌개두부300g,990,8801007112480
167,동서)콘푸라이트600g,3600,8801037008494
168,동원)벨큐브플레인125,7350,3073780515702
169,매)짜지않는치즈,4720,8801121774823
170,"서해)무라귀채,4kg",15000,2100000597543
171,B)천사채(대)1Kg*10,14800,2100000527816
172,한결)황토해풍쌀,44900,8809262310047
173,무순이(특/팩),500,2100000632503
174,크)인기스낵모음4번들,2980,8801111184755
175,깐마늘(1kg/특/봉/국산),4500,2100000578290
176,영진)부산사각어묵,3800,8803214000444
177,롯)초코파이번들,3900,8801062899388
178,사우디)새우50미내외,5900,8809123999565
179,네이클린식자재롤백대,12800,8804340000124
180,무우(소분/특/1개/국산),3980,2100000631872
181,서)태광고구마,3980,8803841889016
182,크)죠리퐁4번들,3450,8801111187824
183,해)맛동산65g*4번들,3250,2100000316151
184,늘처음.토종닭18호,9800,8809401330257
185,버터링,9800,8803718101128
186,계란과자,6900,8803718102019
187,엘)샤프란시어버터아로마리필,3980,8801051026443
188,팔도강산)곱창햇돌김,16800,8809060478000
189,오뚜기)사골곰탕500g,990,8801045290102
190,임꺽정)낙지볶음,4800,8809145880926
191,"조생밀감(5kg,소분100g당,벌크,",4900,200537
192,동원)왕만두2.1kg,9800,8801047305187
193,쌈배추(소분/특/포기/국산),1980,2100000625703
194,동원)프라임돈까스560g,5980,8801047357018
195,오션)칼집오징어채,6300,8809621960135
196,"늘처음,닭절단육1kg",4200,8809401330486
197,다이아)생새우살31-50,4700,8809449223894
198,한우 불고기,18179,207331
199,파래김,7500,8809009741189
200,국산콩두부(찌)300g,1990,8801024055845
201,생 안심,4586,207150
202,오뚜기)순후추100g,4950,8801045450421
203,"손맛두부(찌개용,3kg,정원푸드)",3650,8809420070080
204,새송이버섯(2kg/특/박스/국산),7900,2100000629732
205,황토해풍쌀20년산,44900,8809262310498
206,수산,14800,206631
207,햇살)절관단무지,3100,8809313340085
208,코)조지아오리지날멀티,1980,8801094503932
209,드림팜)착한대란(30구),4400,8809183797798
210,오뚜기)골드마요네스300g,2580,8801045141114
211,동원)싱싱맛살150g,1000,8801047513148
212,수입크림슨,5581,200808
213,"씨없는적,청포도(1,2kg,소분,팩,",6980,2100000658862
214,봉지깻잎(특/봉/국산),1480,2100000625673
215,동서)맥심모카골드150T,17900,8801037054637
216,크)땅콩카라멜(대),3980,8801111922616
217,생삼겹살,13441,207126
218,완숙토마토,10900,200569
219,베이비채소(대/특/팩),6500,2100000632497
220,3000와와,1500,8801062435951
221,씨)비비고한섬만두,6480,8801007738536
222,대림)스노우크랩킹,3980,8801066055469
223,생활가득냅킨90매,9200,8809429690630
224,푼천)쌍노두간장500ml,3900,4891130000093
225,뚜레반)찹쌀가루3kg,11500,8805017210471
226,쥬키니호박(10kg/특/박스/국산),32800,2100000626809
227,하이팩쇼핑봉투(백)왕,6250,8809437190016
228,토스트앤샌드위치,2700,8801068087079
229,롯)ABC초코6000류,2980,8801062643837
230,기타홈)투게더바닐라,4500,8801104142373
231,악마의팝콘3번들145g,2780,8809027553504
232,홈)프로즌요거트블루베리,3300,8801104307888
233,홈)녹차마루홈,3300,8801019514227
234,남부)오륙도맛바,650,8803556810305
235,농)인기스낵기획팩4입,3250,8801043014137
236,킨더초콜릿3입,4650,8000500126325
237,코)코카콜라 1.8L,2500,8801094012007
238,미떼)핫초코오리지날300g,4480,8801037030365
239,대림)싱그람반달단무지,1980,8801066650787
240,모닌)바닐라시럽1000ml,14500,3052910000929
241,농)짜파게티,4150,8801043015264
242,동원)개성왕만두1.82kg,15600,8801047305002
243,청정원)자연국간장500ml,3780,8801052732343
244,제당)남해굴소스210g,3280,8801007406459
245,해표)대두유1.8L,3980,8801039202371
246,오뚜기)진라면(매)120*5,2450,8801045522265
247,담터)호두아몬드율무차50T,14800,8809257330791
248,담터)호두아몬드율무차15T,4900,8809257330784
249,삼립)단팥호빵12입,7450,8801068372908
250,"바나나(6수,벌크,송이,필리핀)",4980,2100000630912
251,"불로초밀감(3kg,box,",13900,2100000655632
252,대)도시락용기소,2270,8809436940964
253,다용도종이컵850ml,3400,8801208158003
254,생등심 덩어리,5943,207982
255,다용도종이컵뚜껑850/1000,3850,8801208158034
256,하이트캔355ml*6입,8100,8801119834416
257,해바라기고무세상(소),1100,8802829900910
258,동원)후르츠칵테일836g,2350,8801047154167
259,냉장 다짐육,5405,207118
