,상품명,단가,상품코드
2516,커브기린중수저1벌진,3600,8809033990270
2517,향균물병1.0,1200,8808049000430
2518,매)엣지저지방2%기획,3980,8801121020975
2519,동원체다치즈클래식20,3980,8801155728953
2520,오뚜기)삼선간짜장분말100g,2200,8801045860206
2521,청정원)스파게티치즈크림250g,3300,8801052742441
2522,오뚜기)핫케익가루1kg,3800,8801045422503
2523,바)앙꼬바,330,8801062417599
2524,동원)꽁치(찌개용)400g,3200,8801047141235
2525,뜰애담)떡볶이몽떡,3300,8809402521005
2526,델솔)할라피뇨,8000,742434001153
2527,청우)파슬리후레이크,3000,8809160221353
2528,녹차항균장갑400매,6200,8809414231022
2529,스텐밧드뚜껑 1/2,4500,8809033993684
2530,"스텐밧드 4""-1/2",8400,8809033993660
2531,해)백진미,42500,8809009749321
2532,산에숯2KG,4350,8809213890086
2533,바로타숯2p,1600,8804265200050
2534,오뚜기)핫소스150ml,7500,8801045364308
2535,오뚜기)고추맛기름80ML,1930,8801045447001
2536,대림)라이스찰치즈볼,11000,8801066057906
2537,쿡)치즈스틱50,7800,8809463840329
2538,콘)부라보바닐라,600,8801019509193
2539,짱짱한봉투2호검정,1600,8809598390010
2540,짱짱한봉투4호검정,3200,8809598390034
2541,노랑파프리카(1개/특/봉/국산),1280,2100000632275
2542,청정원)돼지양념280g,1780,8801052730684
2543,항정살,13112,207181
2544,동원)부산어묵골드사각500g,2900,8801047557616
2545,아폴로보온병0.8L,29500,8809083980085
2546,청정원)카놀라유900ml,4680,8801052728476
2547,매)소화가잘되는우유900,2980,8801121102398
2548,해)포키극세,1350,8801019309946
2549,한도)만나누룽지3kg,11900,8809159100058
2550,제당)다시다명품멸치100g,1780,8801007297521
2551,은박도시락65*170*140,1630,8809249750989
2552,대호)영광굴비,9900,2100000513673
2553,오이맛고추(특/봉/국산),4980,2100000632299
2554,오뚜기)진컵순65*6,3250,8801045570105
2555,뚜레반)명품참맛다시1kg,4800,8805017320019
2556,동서)엘로이크림치즈포션,10800,8803993713808
2557,비락식혜PET,3700,8801128943406
2558,쥬피터흑당시럽,4680,8809451600072
2559,삼립)조각케익스위티고구마,1900,8801068069860
2560,삼립)뉴욕치즈3입,4980,8801068098310
2561,베)생크림파운드미니,5700,8801068077759
2562,청정원)돼지불고기양념2kg,8200,8801052135731
2563,롯)1500도리토스 나쵸,1250,8801062381814
2564,서)코하쿠토보석젤리,3180,8809631300006
2565,위)모짜렐라 스트링,6500,51934715034
2566,미니멜츠빅포도소다,2000,8801062436439
2567,로하이)알팝콘(달콤)90g,990,8802010118988
2568,양반)전복죽3입,4800,8801047864240
2569,찰수수500g,7500,8804560777134
2570,검정쌀800g,5500,8804560777295
2571,왕)생메밀면,2700,8809334055616
2572,뚜레반베이킹파우더,600,8805017400070
2573,제당)박력밀가루1kg,1750,8801007039459
2574,오뚜기)하프케?475g,1950,8801045104126
2575,오뚜기)고소한참기름캔1L,15500,8801045440743
2576,몬유통)코코넛밀크,2800,8809052116811
2577,프링글스)치즈맛110g,1750,8886467100031
2578,프링글스또띠아바베큐맛,1750,8886467112300
2579,오닉유기농팬티라이너롱44p,3950,8809416307664
2580,왕)명가등심돈까스2kg,17200,8809226823293
2581,경해)피홍합,2200,8809385510102
2582,농)해물안성탕면멀티,3150,8801043043939
2583,수입 냉장 갈비살,7285,201423
2584,쿡클래스)부산어묵종합,2450,8804023971888
2585,생태,7800,206537
2586,하림)빌소시지 900g,6500,8801492361196
2587,고들빼기무침(반찬단 ,5000,8809352813724
2588,청정원)민속만두1kg*2(기획),8980,8801024051878
2589,자연퐁솔잎,4250,8801051232288
2590,동원)개성감자만두1350g,11500,8801047306023
2591,대림)큰잔치맛살,3380,8801066500198
2592,대림)우엉조림,1980,8801066650206
2593,롯데쁘띠몽쉘카카오6000류,2980,8801062896554
2594,오)1500오감자딥바베,1250,8801117762308
2595,크)밤양갱+팥양갱,4980,8801111905039
2596,롯)가나마일드번들,2490,8801062638345
2597,크)마이쮸딸기+복숭아,4200,8801111904704
2598,자뎅헤즐럿커피,3300,8808024026837
2599,동원)불고기비엔나110g,1000,8801047577508
2600,크)꽃게랑불짬뽕맛,1180,8801111919609
2601,콜라비 할인,2500,201138
2602,서)목장요구르트딸기500,3800,8801115211914
2603,서광)종합제리골드,5780,8801270000439
2604,피)오랄비클래식6입,5700,4902430597449
2605,삼립)아이스초코모찌롤,3000,8801068376555
2606,크라운산도딸기크림중,1850,8801111917421
2607,오)카스타드,3480,8801117551612
2608,고메)함박스테이크,5980,8801007527673
2609,용가리치킨450g,6900,8801492365385
2610,씨)알찬500,2980,8801007511870
2611,삼립)조각케익초코무스,1900,8801068069839
2612,오뚜기)사과식초1.8L,3200,8801045202518
2613,B)보해)잎새주PET,34800,8801147110209
2614,백태500g,6500,8804560777042
2615,돌나물(소분/특/팩/국산),1980,2100000626236
2616,D탈랜트가스버너,19900,8809018691291
2617,꼬시래기(염장),6900,8809399300348
2618,쌈다시마(염장),4900,8809399300942
2619,청정원)해물감치미1kg,9200,8801052131092
2620,이바라진막창2kg,27500,8809268530135
2621,사세)치킨텐더,9900,8809146313362
2622,다용도종이컵520ml,3100,8801208157860
2623,아침에쥬스(오)950,2900,88004471
2624,씨)알마늘380g,3800,8801417002012
2625,해)오징어채,4900,8809009740359
2626,대림)숯불구이비엔나,1150,8801066020795
2627,농)튀김우동면멀티,5480,8801043045162
2628,농심해피라면매운맛,2850,8801043048002
2629,해찬들)고기전용쌈장450g,2980,8801007053134
2630,해조은)표고멸치다시팩150,8500,8809125001334
2631,농)닭다리후라이드,1250,8801043036535
2632,매)엣지오리지널,2800,8801121772874
2633,오클린)베이킹소다700g,4580,8801173500630
2634,남양)루카스9라떼30T,9900,8801069302041
2635,황보)다진생강,8900,8809342242060
2636,해)자일리톨용기160g,4580,8801019408991
2637,오뚜기)꿀대추차-7.1kg,4800,8802783201436
2638,크린장갑200매,6300,8801252042419
2639,매)상하목장유기농바나나우유3입,3500,8801121759967
2640,장어,18897,206545
2641,늘처음.북채400g,3900,8809401330172
2642,"깻잎(2kg/특/박스,100속/국산)",43900,2100000625659
2643,팜프리츠)크링클컷,4150,8710679120245
2644,왕)미니돈까스,6120,8809226824993
2645,땅콩쵸코볼,2900,8809009743343
2646,오뚜기)백세카레1kg,7400,8801045991207
2647,청정원)미작,3200,8801052744544
2648,다농원오리지널핫초코,10500,8809212558895
2649,진미)비빔국수장300g,2580,8801389032048
2650,★여수)노르웨이고등어,9500,8809329900006
2651,오)돈까스소스415,1480,8801045122106
2652,진미)불맛분말짜장100g,1680,8801389031119
2653,재호)초밥용새우L,4300,8809025774000
2654,동서)오리지널블랙믹스270g,15800,8801037044805
2655,면사랑쟁반막국수2kg,3100,8802039090036
2656,오뚜기)백세카레(약매)100g,2950,8801045010014
2657,참붕어녹차,650,8801104305136
2658,뚜레반)찹쌀가루300g,2600,8804129001151
2659,훼밀리)ELMAC레몬원액200ml,1500,8809007063115
2660,하이팩쇼핑봉투(흑)대,2940,8809437190047
2661,신영)계피가루,2800,8809258658498
2662,와인오프너,4700,8809122123329
2663,재호)생새우살7/90,13500,8809544680622
2664,동)요거트귀리플레인,3980,8801155734640
2665,셀렉션,3300,8801062417254
2666,씨알로)콘앤스위트1.5kg,8900,8809261530163
2667,백설자연발효레몬식초,2890,8801007373928
2668,제당)요리당1.2g,3400,8801007120218
2669,오뚜기)옛날조청쌀엿700g,2750,8801045612218
2670,나쵸칩(리코스)454g,3980,79426261609
2671,칠갑)쫄면1kg,3100,8801759000998
2672,화미)고구마전분당면,3990,8802867211023
2673,튜립고무장갑(대),790,8809367670015
2674,옻칠사각뒤지게 중,1950,8804905243515
2675,매)상하목장유기농우유,3500,8801121763278
2676,매)상하목장유기농딸기우유3입,3500,8801121759950
2677,영양부추(단/특/팩/국산),6980,2100000626168
2678,매)바나나는원래하얗다4입,4000,8801121140321
2679,동원)딸기우유4입,3980,8801155732271
2680,대림)슈크림붕어빵,6980,8801066503779
2681,대림)단팥붕어빵,6980,8801066503755
2682,롯)게토레이레몬240캔,500,8801056836016
2683,오뚜기)골드마요네스500g,3760,8801045141213
2684,해조은)디포리해물다시팩180,7800,8809125002928
2685,창희)조랭이떡,2450,8802151900060
2686,크)콘초코(중),1250,8801111180993
2687,햇살가득들깨가루,4980,8809056217552
2688,해조은)브라질너트,5800,8809009750570
2689,동원)김치찌개참치150g,2550,8801047121961
2690,청정원)크림스파게티소스,4680,8801052753287
2691,청정원)스파게티소스1호3.1kg,7800,8801052402710
2692,오뚜기)프레스코스파게티2입,8500,8801045361703
2693,슬러쉬컵9온스,1600,8801208159550
2694,샤인비닐젓가락250P,4300,8808085602834
2695,C-타입케이블급속,4800,8809560210353
2696,46CM굿스멜링민트*3,4900,8801051067170
2697,조미쥐치포,4150,8809009740526
2698,바밤바샌드,650,8801019511103
2699,해피락스,3500,8809371050902
2700,다이아)생새우살51-70,3950,8809449222057
2701,동원)콩식용유18L,24500,8801047261797
2702,동서)디카믹스240G,4500,8801037010824
2703,서)헬로우앙팡200,1000,8801115134312
2704,참좋은) 찰보리쌀 4kg,13800,8804560771842
2705,오뚜기)케?800g,2980,8801045100432
2706,임꺽정)돼지껍데기,2980,8809145880384
2707,해표중력밀가루1kg,1000,8801039937471
2708,랜시)생선까스,5980,8809180650645
2709,청우)겨자머스타드소스1kg,3650,8809160223524
2710,서라벌)제주양념돼지막창200g,2980,8809337220356
2711,2400설레임커피,600,8801062442911
2712,대림)약속부산어묵사각,3180,8801066150997
2713,동원)정식혜175*30,6300,8801047288602
2714,서)벤토스위트앤스파,990,8850157401050
2715,동)덴마크드링킹사과310,1650,8801122001386
2716,동서)카푸치노바닐라130g,2790,8801037056969
2717,청정원)안주야직화막창,5980,8801052043845
2718,오)바나나초코파이12p,3950,8801117545017
2719,커널스슈퍼믹스팝콘350g,4200,8809027552675
2720,서광)트롤리캔디바나,1800,8437000482420
2721,동원)통그릴부어스트500g,5980,8801047577843
2722,살림왕고급필터수세미,2890,8809104181996
2723,농심)파워오투애플키위500ml,1500,4005906404811
2724,칼라시트도마 대,2700,8809043124016
2725,동원)치즈소스455g,2980,8801047460312
2726,동원)카놀라유500ml,1980,8801047264224
2727,명태알포,29000,8809009748768
2728,니)모이스춰뉴바디로,11500,4005808891436
2729,담터)단호박마차15T,5900,8809257330883
2730,송원)17곡검은콩차15T,4580,8809049863018
2731,꽃샘)꿀생강차포션450g,5800,8803217011249
2732,B)레쓰비캔,7900,2100000441341
2733,농)짜왕,5480,8801043032148
2734,팔도)꼬꼬면,4300,8801128509787
2735,오)김치라면4입,2200,8801045526034
2736,튜브)초코빠삐코,500,8801118250996
2737,롯데마가렛트오리지날352g,2980,8801062890071
2738,락앤락HPL826M밀폐,6000,8803733182607
2739,재호)대왕절단오징어족,2650,8809544870504
2740,하이팩쇼핑봉투(흑)중,1730,8809437190061
2741,칠갑)생칼국수1.5Kg,3950,8801759015688
2742,남)리얼요거트플레인6입,2980,8801069407289
2743,항균강력다목적수세미,2980,8809104185321
2744,B)다이아)생새우살51/70,38000,2100000634453
2745,대)선종합(업)1000g,4850,8801066200050
2746,청정원)초고추장500g,2800,8801052435602
2747,노비드가려운두피샴푸700ml,6980,8801051031546
2748,태)멘톨쿨링린스,7900,8806403290466
2749,삼겹살 덩어리,86333,207978
2750,오뚜기)냉장키위드레싱255g,2520,8801045162829
2751,조미명태어채,3500,8809009740465
2752,오뎅꼬지5mm*30cm*100,1700,8801208158973
2753,엘)페리오캐비티,2980,8801051068139
2754,엘)샤프란20L핑크,18900,8801051200959
2755,정)검은콩고칼슘190*24,18800,8801033775505
2756,B)해태제주감귤캔,6300,2100000486267
2757,B)해)석류캔175ml,7300,2100000581092
2758,B)썬키스트배캔,6300,2100000486281
2759,B)썬키스트사과캔,6300,2100000486243
2760,찹쌀2k,10500,8804560777226
2761,동원)요거트 자색고구마,1380,8801155734541
2762,오뚜기)그대로카레(순)200g,1480,8801045307329
2763,B)칠성사이다190ml업소용,11900,2100000420612
2764,농)김치사발면,4400,8801043021128
2765,롯)크런키더블크런치바미니,7900,8801062009138
2766,크라운산도딸기크림치,3750,8801111917452
2767,청정원)쌈장4.8kg,12800,8801052993850
2768,롯)카스타드스위트골드2번들,5980,8801062012442
2769,테이크아웃세트,2200,8809058410364
2770,오랄비 크로스액션 3+,9900,3014260848972
2771,동서)TOP심플리아메리카노,1200,8801037092257
2772,백)청국장찌개530g,5000,8801007097268
2773,07관급봉투50L*1장,1830,400090727007
2774,씨)다담찌개전용된장5,5700,8801007020631
2775,페리오46cm펌핑치약,6900,8801051065589
2776,네이클린중량롤백특대,12800,8804340000131
2777,애플트리방향제,8000,8809059730737
2778,불스에어컨살균캔(무,13900,8801324200181
2779,부천몽고)진간장1.8L,2980,8801163671296
2780,깐알토란(1kg/특/봉/국산),4980,2100000627134
2781,★주인)절단낙지M,5500,2100000463275
2782,멸치국물(상),3500,8809009746740
2783,삼립)정통와플플레인6입,4750,8801068095067
2784,청우)꼬지소스순한맛,6850,8809160223326
2785,코)햄쏙쏙구워먹는치즈바,3700,8809607596372
2786,델몬트감귤+포도,3980,400114081009
2787,동서)허니오즈270g,5700,8801037061260
2788,코)글라스랜드 무염버터,6300,79176003108
2789,선인다크초코칩1kg,5300,8809301685013
2790,다농원보이차,8500,8809212558512
2791,"늘처음,윙400",4600,8809401330196
2792,해조은)바삭고소김맛나,4500,8805219000108
2793,농심해피라면순한맛멀티,2850,8801043047944
2794,오뚜기)흑임자&갈릭드레싱1kg,5800,8801045961637
2795,초코칩쿠키,6980,8803718102002
2796,"꼬부리콩나물(1kg,두레박)",1350,8807769000782
2797,청정원)아미노산미원2kg,26000,8801052102276
2798,잘풀리는집미용티슈,2980,8809180744191
2799,서)버터스카치캔디,1280,4571104586074
2800,루카스9라떼바닐라30T,10300,8801069400068
2801,크린알뜰지퍼백중,5200,8801252029526
2802,그레인가드잡곡통,1800,8809031239630
2803,사조)런천미트200g,1590,8801039919149
2804,콜)조지아크래프트아메리카노,1600,8801094502669
2805,건지기특소(16) 업소,3500,8809095378870
2806,성경돌자반,2500,8807004804762
2807,완자대스푼/대포크10P,6900,8809033994469
2808,서)신선함이살아있는저지방1000,3300,8801115114338
2809,"곶감세트(box,국내산)",5480,200592
2810,밤고구마(800g/상/봉/국산),3480,2100000626960
2811,재호냉동망고,2980,8809025776387
2812,대림)김밥에쏙,3480,8801066513228
2813,유리와인잔중,4000,8809290725141
2814,사세)순살치킨가라케,9500,8809146313041
2815,오뚜기)사천짜장100g,1980,8801045861104
2816,롯데샌드파인애플315g,3500,8801062521975
2817,비비고)한입떡갈비,1980,8801007672601
2818,롯)핫식스250,800,8801056038861
2819,사조)순창양념쌈장500g,1800,8801075010091
2820,윈도우케어워셔액,2800,8809569040036
2821,한지기름종이롤형(25*,4900,8801252054610
2822,제당)다시다명품골드600g,15300,8801007266459
2823,엘)페리오브레쓰,2980,8801051068146
2824,트리플솔루션칫솔6입,6800,8809539465609
2825,라이트사기머그컵,2650,8809397541378
2826,뼈국자 대,2000,8805777000725
2827,부추(4kg/특/박스/국산),17900,2100000626144
2828,벌집삼겹살,17973,207129
2829,가지(3입/특/봉/국산),3980,2100000629206
2830,건아)달인순살돈까스1.6Kg,9500,8809297946075
2831,오천)땅콩조림1Kg,6500,8809352813014
2832,크)키친타올,3200,8801166030687
2833,려흑운모근영양샴푸500ml,8200,8801042513334
2834,친환경친환경수저,800,8801252148203
2835,광동)옥수수수염차,1900,8806002005805
2836,메이퀸5L바닐라딸기초,7900,8804939000191
2837,동원)야채어묵사각225*2,3250,8801047543336
2838,델몬트포도,3470,8801056475017
2839,동서)맥심믹스S형240g,2980,8801037010732
2840,딸기향솜사탕,1890,6111255560899
2841,경질중국팬왕39.5cm,23800,8809519221133
2842,대)트레이신8호,3290,8809436940322
2843,다우니퍼플기획,7900,4902430437394
2844,오뚜기)뿌셔뿌셔바베큐,700,8801045560076
2845,남부)정미어묵,3000,8801088358104
2846,오뚜기)옛날자른당면100g,1500,8801045375014
2847,청정원)맛소금100g,500,8801052171012
2848,빨강파프리카(1개/특/봉/국산),1280,2100000632268
2849,주황파프리카(1개/특/봉/국산),1480,2100000629343
2850,순맑은계란15구,6700,8801007068930
2851,화)시크릿뉴울날오버,10800,8801166213578
2852,"양파(장아찌용,10kg)",1200,201243
2853,화)시크릿뉴울날중,10900,8801166226509
2854,사조)순창궁태양초골드500g,3950,8801075011548
2855,오양)치킨너겟,5500,8801227180535
2856,동서)아몬드크린베리그래놀350g,5980,8801037040791
2857,동서)리스토란테 콰트로치즈,3980,4001724818908
2858,굿프랜)산적구이,4900,8809456640073
2859,코)토레타캔,850,8801094413705
2860,동아)포카리스웨트250,800,8801097150010
2861,롯)2%부족 복숭아240ml,700,8801056002701
2862,맥스소주컵50p,450,8809016800404
2863,카스라이트(캔)500ml,1950,8801858042769
2864,튜브)폴라포포도,500,8801019508738
2865,델몬트애플망고,3680,8801056074197
2866,덴마크테이크얼라이브,1000,8801155735081
2867,1664블랑캔,2500,3080216031811
2868,바)녹차마루,330,8801019509155
2869,B)옥수수수염차,5800,8804201007903
2870,엘)죽염잇몸고치약,6900,8801051060706
2871,대림)싱그람꼬들단무지,6300,8801066650909
2872,카스후레쉬355ml*24입,34800,8801858011123
2873,해)아이비,3250,8801019312052
2874,돈육포,14800,8809105130108
2875,위앤)갈릭앤차이브,4500,9316389002834
2876,해피)정말매끈한폼,4980,8806403090936
2877,종가집)볶음김치캔,2600,8801052040530
2878,곰표)고급전용분20kg,16900,8801176101902
2879,코)씨그램레몬,750,8801094989200
2880,동원)더킹오리지널,3800,8801047511656
2881,청정원)해물감치미120g,2930,8801052131023
2882,대림)오징어듬뿍해물땡,5600,8801066501898
2883,사조)발아콩메주된장,3950,8801075010077
2884,엘)ES퍼퓸키스더로즈린스,5500,8801051226492
2885,엘)ES퍼퓸키스더로즈샴푸,5500,8801051226461
2886,한우 채끝등심,12442,207380
2887,코)알로에,3300,8801094432409
2888,목우촌)뚝심200,1950,8803712127001
2889,돌자반,4800,8809009742728
2890,롯데)파인애플836g,2800,8801118000294
2891,롯데쁘띠몽쉘6000류,2980,8801062896561
2892,에너자이저 알카AA2,2900,8888021200119
2893,청)해물국물내기티백,7450,8801052008622
2894,제당)햇당면500,3200,8801007055145
2895,유즈웰위생장갑,6700,8801252703266
2896,장가)활낙지150-200,8800,2100000489718
2897,소디프)스마트비엔나,5200,8801633204108
2898,청정원)황태티백,6980,8801052023892
2899,크리미퀄트수세미10p,7250,8802569102506
2900,건지기대(25) 업소용,5000,8809095378719
2901,오뚜기김치알밥,1780,8801045892344
2902,오뚜기)김치참치덮밥컵밥280g,1780,8801045892207
2903,동서)잡화꿀600g,16800,8801037017465
2904,일회용포크,3500,8804381005447
2905,제당)핫케익가루1kg,3980,8801007150321
2906,리고)초코시럽,3300,72810772149
2907,매)카페라떼초콜릿라떼200,1000,8801121761632
2908,농)새우탕컵,4700,8801043015806
2909,하림)허브맛순살치킨,13000,8801492354365
2910,동원)매콤스테이크1Kg,10500,8801047301110
2911,하얀손고무장갑핑크(대),8700,8809018352529
2912,적두500g,9800,8804560777073
2913,해)붕붕타요,2400,8801019309854
2914,미정당)국물떡볶이,2980,8801007719887
2915,종가집남도추어탕,3980,8801052039992
2916,보노체다치즈스프62.4,2380,4901001123094
2917,팜프리츠)슈스트링,4750,8710679120160
2918,동서그래놀라1kg,6500,8803993711456
2919,씨)비비고군만두450*2,9600,8801007301648
2920,코)홈스타일오렌지,3980,8801094743307
2921,농)감자깡,1250,8801043036139
2922,매)플레인저지방450,3200,8801121762837
2923,로즈버드모카원두커피,36000,8801099800005
2924,오뚜기)옛날국수소면3kg,6300,8801045491707
2925,마산몽고송표간장,11800,8801301001114
2926,오뚜기)튀김가루1kg,2250,8801045420509
2927,샤인비닐젓가락350P,5800,8808085602841
2928,청정원)조청쌀엿3kg,9900,8801052901053
2929,왕)김말이,8000,8809226825877
2930,팝콘치킨(650G),8800,8801492671011
2931,해)썬키스트,3980,8801019007958
2932,서울)앙팡치즈180,4780,8801115633457
2933,1600류자두캔디,1200,8801019007583
2934,1600류청포도캔디,1200,8801019007590
2935,투썸)밀크티파우더,5380,8801007366524
2936,투썸)그린티파우더,5380,8801007347424
2937,큐원)하얀설탕15kg,12900,8801013111507
2938,SJ미니탕칼라그릇185,14740,8809437120495
2939,중원)헬레벌떡,6500,8809402521197
2940,윤푸드)가리비젓,6800,8809495841950
2941,화)시크릿와&롱뉴슬날중+대,12300,8801166226776
2942,해조은)아몬드슬라이스,16500,8809009751744
2943,립톤)옐로우라벨100T,6500,8850144200789
2944,뼈로가는칼슘치즈10매,5400,8801150109023
2945,대림)짬뽕우동,1200,8801066701038
2946,대림)가쓰오우동,1200,8801066701069
2947,대림)해물우동,1000,8801066701045
2948,제당)토마토파스타소스455g,2980,8801007221335
2949,남향)또즈랑밀또띠아,3200,8809048100107
2950,대림)전골어묵,3850,8801066101746
2951,"감자(크링클컷,심플,2",3980,8809017301139
2952,쉐프원)스위트콘2.95kg,3980,8801052748528
2953,동원)살+마150*3,5800,8801047828891
2954,동원)살코기100*3입,4980,8801047815570
2955,멸치고바,11200,8809009746672
2956,동서)모카골드300g,14500,8801037013672
2957,천일)조선떡갈비,11900,8801284267750
2958,사옹원)옛날꿀호떡,3800,8809109117044
2959,아폴로눈금분무기,2350,8801873945267
2960,코)미닛플라워 장미앤포도,2780,8801094662301
2961,사조마일드안심,4280,8801075014648
2962,문일오리비누갑,1350,8802202880242
2963,팔도강산올리브전장김5입,3490,8809060474811
2964,바이오찌개솥(무) 2호,2400,8809033996296
2965,보해잎새주포켓,1200,8801147100187
2966,남부)하이비엔나,5250,8801088357268
2967,진미)쇠고기진미다시2kg,6000,8801389802221
2968,대한)고추씨1kg,2800,8809532970452
2969,수입건목이버섯1kg,18200,8809009750396
2970,왕)고구마떡,4500,8809226829776
2971,뚜레반)감자전분100%.20kg,42000,8805017230042
2972,네이클린중량롤백미니,4950,8804340000094
2973,조은)고추가루18호2.5,18900,8809532970377
2974,오뚜기)식당용케?3.3kg,3300,8801045950389
2975,크리미파트너수세미10,4350,8802569103985
2976,청정원)미원스몰25kg,78000,2100000445691
2977,쵸코비(짱구)22g,2000,4543112881205
2978,천일)참치김치볶음밥,1850,8801284261215
2979,봉지깻잎(2kg/특/박스/국산),39800,2100000631933
2980,"봉지새송이버섯(10입,4kg/특/박스/국산)",11800,2100000629756
2981,쫄병스낵짜파게티맛77g,850,8801043048774
2982,홈스타)락스와세제후로랄파인,3750,8801051264029
2983,크린백대,3100,8801252023111
2984,페브리즈화장실용비누향2입,12400,4902430851695
2985,엘)자연퐁오렌지리필,2980,8801051235388
2986,황태실채,6300,8809009749208
2987,서광)복분자제리,2480,8805194008281
2988,서광)블루베리제리,2480,8805194008588
2989,아담스)파마산치즈가루,11000,8809144532024
2990,제당)아이미2kg,14800,8801007210131
2991,롯데)파인애플슬3.05k,7980,8801118000270
2992,모듬채소(2kg/특/박스/국산),19800,2100000625826
2993,선인)홈라 무가당생크림,3980,8000005430019
2994,샐러리(10kg/특/박스/국산),4004,201377
2995,참존)복숭아835ml,2450,8809173200116
2996,참존)오렌지원액835ml,2450,8809173200017
2997,리고)땅콩쨈大중국,7900,8809234900733
2998,유즈웰위생백(미니),2600,8801252703174
2999,참존)키위쥬스835ml,2600,8809173200031
3000,헌트)토마토홀(大)2.8kg,6900,27000380765
3001,오뚜기)데리야끼소스-C 2kg,4800,8801045961491
3002,제니스)핫소스,990,8809114650116
3003,삼원알루미늄테이프,1600,8809401840091
3004,제니스)닭가루680g,2900,8809114650215
3005,동서)모카골드(병)175g,12300,8801037018066
3006,왕)참진떡갈비,8500,8809226828793
3007,바베큐머쉬멜로90g,990,8809633160288
3008,B)미린다오렌지 1.25,990,8801056060688
3009,백화수복골드,4980,8801030995425
3010,큐원)흑설탕1kg,1980,8801013130102
3011,곰표)중력1등급밀가루2.5kg,2980,8801176101124
3012,오뚜기)물엿10kg,16900,8801045611815
3013,동원양반바삭부침가루,1980,8801047251330
3014,해표)꽃소금5kg,5150,8802304703067
3015,청정원)물엿18kg,27500,8801052451060
3016,화진)새우20미내외,8500,8809123999534
3017,부채북어포5마리,10200,8809009740601
3018,다농원)콘푸레이크천마차40T,9500,8809212558208
3019,쉐프원)허니머스타드소스,6500,8801052027159
3020,사세)오리훈제완포,8200,8809146310378
3021,진미진한향기름,8800,8809150182626
3022,동원)바나나우유4입,3980,8801155732288
3023,신송)재래된장14kg,24500,8801161241101
3024,하선정)까나리액젓,12980,8801391100445
3025,동원)빵가루1kg,2980,8801047251170
3026,오뚜기)우스타소스415g,1480,8801045120102
3027,왕)흑임자드레싱,11700,8809202932148
3028,생활가득점보롤16롤,22300,8809429690616
3029,수입건목이버섯100g,2900,8809009742162
3030,청정원)미원250g,5380,8801052103419
3031,늘처음.닭갈비용500g,5200,8809401330608
3032,짠지)김치(배추국/고추수입),24500,8809351250308
3033,제당)다시다명품골드멸치96g,2780,8801007297569
3034,녹두500g,8800,8804560777080
3035,물미역,2135,206507
3036,태)메디안치석잇몸치약,6350,8809585101483
3037,팔도)미니도시락김,1000,8809060472657
3038,하선정)까나리액젓400g,2780,8801391100674
3039,청우)바질홀130g,3900,8809160221070
3040,유즈웰롤백(대),7450,8801252703396
3041,더글라스락핸들사각30,15500,8809238075963
3042,오븐락찬통직사각4호,5800,8809397542092
3043,오븐락찬통직사각3호,4700,8809397542085
3044,동원)리챔340g*3,7980,8801047858980
3045,오뚜기)크림스프80g,1300,8801045052106
3046,청정원)피자소스1호3.3kg,13200,8801052402888
3047,빈야드)케레스와인(화이트)5L,18900,8809122845016
3048,오뚜기)돈까스소스PET2.1kg,4600,8801045122533
3049,라리)발사믹크림500ml,7500,8809251213014
3050,청정원)홍초석류900ml,5500,8801052431499
3051,레스큐카12g,2580,686464533003
3052,친환경친환경200∮,1400,8801252147404
3053,북어포 1마리,3500,8809009740595
3054,농)메밀소바,5250,8801043027113
3055,오뚜기)콘마아가린200g,1800,8801045231044
3056,생활가득양념쌈장14kg,19500,8801389320176
3057,동)비퍼더스명장베리믹스140*8입,2980,8801155428624
3058,빙)요플레딸기85*4입,2700,8801104240321
3059,라일락플라워물병,4900,8809397549015
3060,크리스피롤22곡,3780,4713205071473
3061,서광)곡물그대로21,4380,8809010960227
3062,청우)흑후추분말420g,9800,8809160221421
3063,롯)5000자일리톨(애플,2980,8801062214792
3064,온더잉글리쉬부케바디,4900,8801051107203
3065,오뚜기)3분김치참치덮밥150g,1430,8801045294018
3066,오뚜기)3분미트볼150g,1650,8801045296203
3067,청정원데리야끼소스,2980,8801052024646
3068,청정원)마요네즈고소300g,2650,8801052728247
3069,B)썬부탄가스,21900,8801551102203
3070,제당)컵반황태국밥169.2g,1980,8801007403205
3071,황편수냄비,4900,8809403570248
3072,태)미쟝센데미지샴푸,6980,8801042704442
3073,해조은)냉동번데기,4800,8809009750266
3074,디보트)건포도스콘,1100,2100000500956
3075,오뚜기)양송이스프1kg,7800,8801045980287
3076,"농)포스틱지퍼,대",3850,8801043026802
3077,구가네가마솥누룽지,5000,8809628210028
3078,이금기)중화두반장368g,5200,8801045366401
3079,엄지)고기왕만두2.8kg,15900,8807617122253
3080,4칸도시락세트,16000,8801208160419
3081,면사랑)쇠고기맛육수5입,1950,8802039064334
3082,서해)오징어채800g중국,8300,2100000617661
3083,볶음멸치(中),20800,8809009749291
3084,짱짱김장봉투대형,550,8809598390508
3085,서)우유200,950,8801115114031
3086,남)떠먹는불가리스포도4입,2790,8801069219462
3087,"메로골드(소분,벌크,4입,봉지,수입)",6900,8809144266097
3088,남)떠먹는불가리스복숭아4입,2790,8801069219479
